time,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_point_on_display_area,right_gaze_point_validity,left_pupil_diameter,left_pupil_validity,right_pupil_diameter,right_pupil_validity,fixation_center,eye_state
0.8271253108978271,"(0.5766546130180359, 0.6556272506713867)",1,"(0.5774611234664917, 0.6502456068992615)",1,3.6198577880859375,1,3.098983764648437,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.8439173698425293,"(0.591644287109375, 0.6370559930801392)",1,"(0.5908360481262207, 0.6359378099441528)",1,3.6076507568359375,1,3.099639892578125,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.8604443073272705,"(0.5966159105300903, 0.6340014934539795)",1,"(0.592830240726471, 0.6293513178825378)",1,3.58746337890625,1,3.0930938720703125,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.8773097991943359,"(0.5963713526725769, 0.6366072297096252)",1,"(0.5924176573753357, 0.6321695446968079)",1,3.5800018310546875,1,3.093231201171875,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.8939852714538574,"(0.5996156334877014, 0.643485963344574)",1,"(0.5949506163597107, 0.6342499852180481)",1,3.57501220703125,1,3.080291748046875,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.910597324371338,"(0.6024166345596313, 0.6459509134292603)",1,"(0.6005123257637024, 0.6327462196350098)",1,3.5640869140625,1,3.079818725585937,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.9277632236480712,"(0.6011579632759094, 0.6528936624526978)",1,"(0.5997812151908875, 0.6322658658027649)",1,3.569061279296875,1,3.0865478515625,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.9439597129821776,"(0.6007296442985535, 0.6565929055213928)",1,"(0.5972397923469543, 0.636516273021698)",1,3.555160522460937,1,3.0676422119140625,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.9611976146697998,"(0.5977030396461487, 0.6544700860977173)",1,"(0.5976883172988892, 0.6392964124679565)",1,3.542327880859375,1,3.069122314453125,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.969794511795044,"(0.5964954495429993, 0.653834879398346)",1,"(0.5986818671226501, 0.6347867250442505)",1,3.545883178710937,1,3.077011108398437,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.9943482875823976,"(0.5977444052696228, 0.6497884392738342)",1,"(0.5958905816078186, 0.6334680318832397)",1,3.5414581298828125,1,3.076019287109375,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
1.010638952255249,"(0.5978838205337524, 0.6480257511138916)",1,"(0.5937960743904114, 0.6313986778259277)",1,3.532928466796875,1,3.077850341796875,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
1.027256727218628,"(0.5981749296188354, 0.6467663645744324)",1,"(0.5948613286018372, 0.6349586248397827)",1,3.5249176025390625,1,3.069915771484375,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
1.043548583984375,"(0.5983289480209351, 0.6439316868782043)",1,"(0.5933005809783936, 0.6430143117904663)",1,3.514556884765625,1,3.0567169189453125,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
1.0603249073028564,"(0.5998898148536682, 0.647123396396637)",1,"(0.5957279205322266, 0.6428683996200562)",1,3.5184478759765625,1,3.061676025390625,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
1.077190399169922,"(0.5983144044876099, 0.6522052884101868)",1,"(0.5975354909896851, 0.640025794506073)",1,3.51702880859375,1,3.062835693359375,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
1.094001293182373,"(0.5972064733505249, 0.6540659070014954)",1,"(0.5976306200027466, 0.6416233777999878)",1,3.5034942626953125,1,3.05615234375,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
1.110734462738037,"(0.6001192927360535, 0.6543678045272827)",1,"(0.5966388583183289, 0.6383093595504761)",1,3.501449584960937,1,3.041168212890625,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
1.127302169799805,"(0.6017006039619446, 0.6551848649978638)",1,"(0.5954225063323975, 0.6376272439956665)",1,3.501693725585937,1,3.034027099609375,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
1.143857717514038,"(0.6020568013191223, 0.6574697494506836)",1,"(0.5993222594261169, 0.6311197280883789)",1,3.503890991210937,1,3.0366973876953125,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
1.1605489253997805,"(0.6031380295753479, 0.6533747911453247)",1,"(0.5971927046775818, 0.6234715580940247)",1,3.503768920898437,1,3.0425262451171875,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
