timestamp,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_point_on_display_area,right_gaze_point_validity,left_pupil_diameter,left_pupil_validity,right_pupil_diameter,right_pupil_validity
2023-12-11 18:34:47.812419,"(0.6937568783760071, 0.35322481393814087)",1,"(0.766349196434021, 0.2758435010910034)",1,3.304595947265625,1,3.169952392578125,1
2023-12-11 18:34:47.829023,"(0.7344210147857666, 0.3593035042285919)",1,"(0.7839134931564331, 0.2773134112358093)",1,3.3009490966796875,1,3.1422271728515625,1
2023-12-11 18:34:47.846041,"(0.7496288418769836, 0.3609815537929535)",1,"(0.7990638613700867, 0.2874697744846344)",1,3.301177978515625,1,3.142242431640625,1
2023-12-11 18:34:47.862349,"(0.747123658657074, 0.3620954155921936)",1,"(0.7969803810119629, 0.28596916794776917)",1,3.309967041015625,1,3.1490936279296875,1
2023-12-11 18:34:47.879201,"(0.7500545382499695, 0.35335010290145874)",1,"(0.7962584495544434, 0.28527650237083435)",1,3.32843017578125,1,3.161590576171875,1
2023-12-11 18:34:47.895621,"(0.7495590448379517, 0.35096439719200134)",1,"(0.7981159687042236, 0.2833126485347748)",1,3.3440399169921875,1,3.169952392578125,1
2023-12-11 18:34:47.912473,"(0.7503449320793152, 0.3472578227519989)",1,"(0.7989985346794128, 0.27394524216651917)",1,3.34942626953125,1,3.17974853515625,1
2023-12-11 18:34:47.929147,"(0.7515391111373901, 0.3426302373409271)",1,"(0.7989957332611084, 0.2721512019634247)",1,3.36138916015625,1,3.195953369140625,1
2023-12-11 18:34:47.946114,"(0.7540479302406311, 0.34114670753479004)",1,"(0.7974071502685547, 0.26941725611686707)",1,3.3894500732421875,1,3.2035369873046875,1
2023-12-11 18:34:47.962324,"(0.7542950510978699, 0.3373637795448303)",1,"(0.7965233325958252, 0.2639769911766052)",1,3.408843994140625,1,3.232269287109375,1
2023-12-11 18:34:47.979322,"(0.7508379220962524, 0.3361734449863434)",1,"(0.7968547344207764, 0.26969778537750244)",1,3.4263916015625,1,3.262176513671875,1
2023-12-11 18:34:47.995242,"(0.7515439391136169, 0.33361759781837463)",1,"(0.797636866569519, 0.26538312435150146)",1,3.4477081298828125,1,3.2717742919921875,1
2023-12-11 18:34:48.013007,"(0.756135106086731, 0.3301362991333008)",1,"(0.7963894009590149, 0.25937891006469727)",1,3.47100830078125,1,3.2788848876953125,1
2023-12-11 18:34:48.028984,"(0.7595383524894714, 0.3299844264984131)",1,"(0.7965670824050903, 0.25688043236732483)",1,3.4836273193359375,1,3.29150390625,1
2023-12-11 18:34:48.045672,"(0.7553915977478027, 0.32970795035362244)",1,"(0.7959539890289307, 0.25419870018959045)",1,3.4881591796875,1,3.2987518310546875,1
2023-12-11 18:34:48.062079,"(0.7548328042030334, 0.33184629678726196)",1,"(0.7994158267974854, 0.2572447657585144)",1,3.49810791015625,1,3.3079986572265625,1
2023-12-11 18:34:48.078354,"(0.7548975944519043, 0.3286815583705902)",1,"(0.7952747941017151, 0.2564106285572052)",1,3.5010528564453125,1,3.3143157958984375,1
2023-12-11 18:34:48.095406,"(0.7538938522338867, 0.3258679509162903)",1,"(0.7945826649665833, 0.2538056969642639)",1,3.5005035400390625,1,3.3224334716796875,1
2023-12-11 18:34:48.112262,"(0.7508820295333862, 0.3252516984939575)",1,"(0.7956962585449219, 0.24938076734542847)",1,3.4983367919921875,1,3.309051513671875,1
2023-12-11 18:34:48.128467,"(0.7508677244186401, 0.32626229524612427)",1,"(0.7866522669792175, 0.24392472207546234)",1,3.4994964599609375,1,3.3121490478515625,1
2023-12-11 18:34:48.145284,"(0.755714476108551, 0.33378997445106506)",1,"(0.7817747592926025, 0.2605368196964264)",1,3.5043792724609375,1,3.316070556640625,1
2023-12-11 18:34:48.162314,"(0.7628759741783142, 0.33018192648887634)",1,"(0.7742874622344971, 0.29053181409835815)",1,3.5117340087890625,1,3.3312225341796875,1
2023-12-11 18:34:48.178619,"(0.7960889935493469, 0.4749651551246643)",1,"(nan, nan)",0,2.606597900390625,1,,0
2023-12-11 18:34:48.178619,"(0.7960889935493469, 0.4749651551246643)",1,"(nan, nan)",0,2.606597900390625,1,,0
2023-12-11 18:34:48.211073,"(nan, nan)",0,"(nan, nan)",0,,0,,0
2023-12-11 18:34:48.227900,"(nan, nan)",0,"(nan, nan)",0,,0,,0
2023-12-11 18:34:48.245115,"(0.4843583106994629, 0.6774570941925049)",1,"(nan, nan)",0,3.6885986328125,1,,0
2023-12-11 18:34:48.261830,"(0.46112629771232605, 0.6442989706993103)",1,"(nan, nan)",0,3.4777679443359375,1,,0
2023-12-11 18:34:48.278459,"(0.42485690116882324, 0.5925330519676208)",1,"(nan, nan)",0,3.14862060546875,1,,0
2023-12-11 18:34:48.294983,"(0.4494880139827728, 0.4962541460990906)",1,"(0.48340079188346863, 0.5604813694953918)",1,3.46142578125,1,2.8489990234375,1
2023-12-11 18:34:48.312455,"(0.45329731702804565, 0.49129730463027954)",1,"(0.46583664417266846, 0.4807989299297333)",1,3.47491455078125,1,3.14312744140625,1
2023-12-11 18:34:48.328793,"(0.4569433927536011, 0.4954330623149872)",1,"(0.46520766615867615, 0.448137491941452)",1,3.4936370849609375,1,3.3197174072265625,1
2023-12-11 18:34:48.346240,"(0.45721709728240967, 0.4933762848377228)",1,"(0.47067180275917053, 0.4638572335243225)",1,3.493865966796875,1,3.2996673583984375,1
2023-12-11 18:34:48.362216,"(0.45785224437713623, 0.4917929172515869)",1,"(0.4701399505138397, 0.4666946232318878)",1,3.482330322265625,1,3.30682373046875,1
2023-12-11 18:34:48.379376,"(0.4558432102203369, 0.4922184348106384)",1,"(0.4736250638961792, 0.463008314371109)",1,3.48870849609375,1,3.314666748046875,1
2023-12-11 18:34:48.396765,"(0.4569456875324249, 0.4893985688686371)",1,"(0.4703865349292755, 0.45607203245162964)",1,3.490478515625,1,3.319580078125,1
